codigo,titulo,autor,ano,genero,disponivel
L00042,The Aeneid,Publius Vergilius Maro,1990,Literatura,sim
L00043,"Heroes, Gods and Monsters of the Greek Myths",Bernard Evslin,1967,Literatura,sim
L00044,The Princess and the Goblin,George MacDonald,1872,Literatura,sim
L00045,D'Aulaires' Book of Greek Myths,Ingri Parin D'Aulaire,1962,Literatura,nao
L00046,Animal Farm,George Orwell,1945,Literatura,nao
L00047,Metamorphoses,Lucius Apuleius,1500,Literatura,sim
L00048,Sense and Sensibility,Jane Austen,1811,Literatura,sim
L00049,The Evil Shepherd,Edward Phillips Oppenheim,1922,Literatura,sim
L00050,The Sirens of Titan,Kurt Vonnegut,1959,Literatura,sim
L00051,What's wrong with the world,Gilbert Keith Chesterton,1910,Literatura,nao
L00052,Original Short Stories,Guy de Maupassant,1925,Literatura,sim
L00053,The Awakening,Kate Chopin,1899,Literatura,sim
L00054,Of Mice and Men,John Steinbeck,1937,Literatura,sim
L00055,Breakfast of Champions,Kurt Vonnegut,1973,Literatura,sim
L00056,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1600,Literatura,nao
L00057,Nineteen Eighty-Four,George Orwell,1949,Literatura,sim
L00058,De rerum natura,Titus Lucretius Carus,1486,Literatura,sim
L00059,The Freedom of Life,Annie Payson Call,1905,Literatura,sim
L00060,The Giver,Lois Lowry,1993,Literatura,sim
L00061,The Paradise Mystery,Joseph Smith Fletcher,1920,Literatura,nao
L00062,The Railway Children,Edith Nesbit,1900,Literatura,sim
L00063,Whose Body?,Dorothy L. Sayers,1923,Literatura,sim
L00064,The Lost Princess of Oz,L. Frank Baum,1917,Literatura,sim
L00065,The Waves,Virginia Woolf,1931,Literatura,sim
L00066,Flatland,Edwin Abbott Abbott,1884,Literatura,nao
L00067,The house by the church-yard,Sheridan Le Fanu,1863,Literatura,nao
L00068,A strange disappearance,Anna Katharine Green,1879,Literatura,sim
L00069,Mother Goose in Prose,L. Frank Baum,1897,Literatura,sim
L00070,Classics,Mary Beard,1995,Literatura,sim
L00071,El Lazarillo de Tormes,Anonymous,1997,Literatura,nao
L00072,Dubliners,James Joyce,1914,Literatura,sim
L00073,Смерть Ивана Ильича,Лев Толстой,1887,Literatura,sim
L00074,"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,Literatura,sim
L00075,The Age of Fable,Thomas Bulfinch,1800,Literatura,sim
L00076,The Greek myths,Robert Graves,1955,Literatura,nao
L00077,Go Tell It on the Mountain,James Baldwin,1952,Literatura,sim
L00078,K,Mary Roberts Rinehart,1915,Literatura,nao
L00079,Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,1779,Literatura,sim
L00080,L'Ecole Des Femmes,Molière,1950,Literatura,sim
L00081,Metamorphoses,Ovid,1479,Literatura,nao
L00082,The Pearl,John Steinbeck,1945,Literatura,sim
L00083,Inferno,Dante Alighieri,1767,Literatura,sim
L00084,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,Literatura,sim
L00085,The Scarecrow of Oz,L. Frank Baum,1915,Literatura,sim
L00086,The Great God Pan,Arthur Machen,1894,Literatura,nao
L00087,Chance,Joseph Conrad,1913,Literatura,sim
L00088,The Soul of Man Under Socialism,Oscar Wilde,1891,Literatura,sim
L00089,Giovanni's Room,James Baldwin,1956,Literatura,nao
L00090,A Tale of Two Cities,Charles Dickens,1800,Literatura,sim
L00091,Through the Looking-Glass,Lewis Carroll,1865,Literatura,nao
L00092,Ἰλιάς,Όμηρος,1505,Literatura,sim
L00093,The Vampyre,John William Polidori,1819,Literatura,sim
L00094,Tao te Ching,老子,1842,Literatura,sim
L00095,Baum's American Fairy Tales,L. Frank Baum,1901,Literatura,sim
L00096,The Trojan War,Olivia E. Coolidge,1952,Literatura,nao
L00097,La vie de Marianne,Pierre Carlet de Chamblain de Marivaux,1736,Literatura,sim
L00098,Κρίτων,Πλάτων,1833,Literatura,sim
L00099,The Midwich Cuckoos,John Wyndham,1957,Literatura,sim
L00100,The Gods of Mars,Edgar Rice Burroughs,1918,Literatura,nao
L00101,Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,Ficcao cientifica,nao
L00102,The Fall of Hyperion,Dan Simmons,1990,Ficcao cientifica,sim
L00103,The Caves of Steel,Isaac Asimov,1953,Ficcao cientifica,sim
L00104,Понедельник начинается в субботу; Пикник на обочине,Аркадий Стругацкий,1978,Ficcao cientifica,sim
L00105,The Naked Sun,Isaac Asimov,1954,Ficcao cientifica,sim
L00106,The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,2008,Ficcao cientifica,nao
L00107,The Foundation Trilogy,Isaac Asimov,1950,Ficcao cientifica,sim
L00108,Nightfall,Isaac Asimov,1969,Ficcao cientifica,sim
L00109,I Have No Mouth and I Must Scream,Harlan Ellison,1972,Ficcao cientifica,sim
L00110,Project Hail Mary,Andy Weir,2021,Ficcao cientifica,sim
L00111,The End of Eternity,Isaac Asimov,1955,Ficcao cientifica,nao
L00112,The Mote in God's Eye,Larry Niven,1974,Ficcao cientifica,sim
L00113,God Emperor of Dune,Frank Herbert,1981,Ficcao cientifica,sim
L00114,Snow Crash,Neal Stephenson,1992,Ficcao cientifica,sim
L00115,"The Stars, Like Dust",Isaac Asimov,1951,Ficcao cientifica,sim
L00116,Dune Messiah,Frank Herbert,1969,Ficcao cientifica,nao
L00117,Altered Carbon,Richard K. Morgan,2002,Ficcao cientifica,sim
L00118,Artemis,Andy Weir,2017,Ficcao cientifica,sim
L00119,Chapterhouse Dune,Frank Herbert,1985,Ficcao cientifica,sim
L00120,2001,Arthur C. Clarke,1968,Ficcao cientifica,sim
L00121,Solaris,Stanisław Lem,1961,Ficcao cientifica,nao
L00122,Endymion,Dan Simmons,1995,Ficcao cientifica,nao
L00123,The Robots of Dawn,Isaac Asimov,1983,Ficcao cientifica,sim
L00124,Dune,Frank Herbert,1965,Ficcao cientifica,sim
L00125,Foundation,Isaac Asimov,1951,Ficcao cientifica,sim
L00126,The Martian Chronicles,Ray Bradbury,1950,Ficcao cientifica,nao
L00127,Ubik,Philip K. Dick,1969,Ficcao cientifica,sim
L00128,Contact,Carl Sagan,1985,Ficcao cientifica,sim
L00129,Friday,Robert A. Heinlein,1982,Ficcao cientifica,sim
L00130,Pandora's Star,Peter F. Hamilton,2004,Ficcao cientifica,sim
L00131,"The Long Way to a Small, Angry Planet",Becky Chambers,2014,Ficcao cientifica,nao
L00132,Lucifer's Hammer,Larry Niven,1977,Ficcao cientifica,sim
L00133,A Closed and Common Orbit,Becky Chambers,2016,Ficcao cientifica,nao
L00134,Heretics of Dune,Frank Herbert,1984,Ficcao cientifica,sim
L00135,Burning Chrome,William Gibson,1986,Ficcao cientifica,sim
L00136,A Princess of Mars,Edgar Rice Burroughs,1912,Ficcao cientifica,nao
L00137,Blindsight,Peter Watts,2006,Ficcao cientifica,sim
L00138,Foundation and Earth,Isaac Asimov,1986,Ficcao cientifica,sim
L00139,Shatter Me,Tahereh Mafi,2011,Ficcao cientifica,sim
L00140,Shatter Me Complete Collection,Tahereh Mafi,2011,Ficcao cientifica,sim
L00141,Robots and Empire,Isaac Asimov,1985,Ficcao cientifica,nao
L00142,The Time Machine,H. G. Wells,1895,Ficcao cientifica,sim
L00143,"I, Robot",Isaac Asimov,1950,Ficcao cientifica,sim
L00144,The Currents of Space,Isaac Asimov,1952,Ficcao cientifica,nao
L00145,Defy Me (Shatter Me),Tahereh Mafi,2019,Ficcao cientifica,sim
L00146,三体,刘慈欣,2008,Ficcao cientifica,nao
L00147,Unravel me,Tahereh Mafi,2013,Ficcao cientifica,sim
L00148,Ancillary Sword,Ann Leckie,2014,Ficcao cientifica,sim
L00149,The Diamond Age,Neal Stephenson,1995,Ficcao cientifica,sim
L00150,A Fire upon the Deep,Vernor Vinge,1992,Ficcao cientifica,sim
L00151,Starship Troopers,Robert A. Heinlein,1959,Ficcao cientifica,nao
L00152,The Martian,Andy Weir,2011,Ficcao cientifica,sim
L00153,The Last Colony,John Scalzi,2007,Ficcao cientifica,sim
L00154,Xenocide,Orson Scott Card,1991,Ficcao cientifica,sim
L00155,Brave New World,Aldous Huxley,1932,Ficcao cientifica,nao
L00156,I am Legend,Richard Matheson,1954,Ficcao cientifica,nao
L00157,Foundation and Empire,Isaac Asimov,1945,Ficcao cientifica,sim
L00158,Dawn,Octavia E. Butler,1987,Ficcao cientifica,sim
L00159,Prelude to Foundation,Isaac Asimov,1988,Ficcao cientifica,sim
L00160,Cryptonomicon,Neal Stephenson,1999,Ficcao cientifica,sim
L00161,The Day of the Triffids,John Wyndham,1951,Ficcao cientifica,nao
L00162,The Difference Engine,William Gibson,1990,Ficcao cientifica,sim
L00163,Animal Farm / Nineteen Eighty-Four,George Orwell,1978,Ficcao cientifica,sim
L00164,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,Ficcao cientifica,sim
L00165,"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,1996,Ficcao cientifica,sim
L00166,Pebble in the Sky,Isaac Asimov,1950,Ficcao cientifica,nao
L00167,The Stars My Destination,Alfred Bester,1956,Ficcao cientifica,sim
L00168,Pyramids,Terry Pratchett,1989,Ficcao cientifica,sim
L00169,Dandelion Wine,Ray Bradbury,1946,Ficcao cientifica,sim
L00170,Small Gods,Terry Pratchett,1992,Ficcao cientifica,sim
L00171,The Dispossessed,Ursula K. Le Guin,1974,Ficcao cientifica,nao
L00172,Kindred,Octavia E. Butler,1979,Ficcao cientifica,sim
L00173,A Deepness in the Sky (Zones of Thought),Vernor Vinge,1999,Ficcao cientifica,sim
L00174,Nemesis Games,James S. A. Corey,2015,Ficcao cientifica,sim
L00175,The ones who walk away from Omelas,Ursula K. Le Guin,1973,Ficcao cientifica,sim
L00176,The Forever War,Joe Haldeman,1974,Ficcao cientifica,nao
L00177,"2010, odyssey two",Arthur C. Clarke,1982,Ficcao cientifica,nao
L00178,Second Foundation,Isaac Asimov,1953,Ficcao cientifica,sim
L00179,The Lathe of Heaven,Ursula K. Le Guin,1971,Ficcao cientifica,sim
L00180,Virtual light,William Gibson,1743,Ficcao cientifica,sim
L00181,The Restaurant at the End of the Universe,Douglas Adams,1980,Ficcao cientifica,nao
L00182,Abaddon’s Gate,James S. A. Corey,2013,Ficcao cientifica,sim
L00183,The Illustrated Man,Ray Bradbury,1951,Ficcao cientifica,sim
L00184,The Man in the High Castle,Philip K. Dick,1962,Ficcao cientifica,sim
L00185,The Rise of Endymion,Dan Simmons,1997,Ficcao cientifica,sim
L00186,Fahrenheit 451,Ray Bradbury,1953,Ficcao cientifica,nao
L00187,This is How You Lose the Time War,Amal El-Mohtar,2019,Ficcao cientifica,sim
L00188,The Salmon of Doubt,Douglas Adams,1995,Ficcao cientifica,nao
L00189,Children of Dune,Frank Herbert,1976,Ficcao cientifica,sim
L00190,Have Spacesuit--Will Travel,Robert A. Heinlein,1958,Ficcao cientifica,sim
L00191,A Scanner Darkly,Philip K. Dick,1977,Ficcao cientifica,nao
L00192,Restore me,Tahereh Mafi,2018,Ficcao cientifica,sim
L00193,Use of Weapons,Iain Banks,1990,Ficcao cientifica,sim
L00194,The White Dragon,Anne McCaffrey,1978,Ficcao cientifica,sim
L00195,Rocannon's World,Ursula K. Le Guin,1966,Ficcao cientifica,sim
L00196,The Number of the Beast,Robert A. Heinlein,1980,Ficcao cientifica,nao
L00197,Caliban's war,James S. A. Corey,2012,Ficcao cientifica,sim
L00198,The Chrysalids,John Wyndham,1955,Ficcao cientifica,sim
L00199,The Ringworld throne,Larry Niven,1996,Ficcao cientifica,nao
L00200,Anathem,Neal Stephenson,2008,Ficcao cientifica,sim
L00201,The Blade Itself,Joe Abercrombie,2001,Fantasia,nao
L00202,The Hero of Ages,Brandon Sanderson,2008,Fantasia,sim
L00203,The Lies of Locke Lamora,Scott Lynch,2001,Fantasia,sim
L00204,The Assassin’s Blade,Sarah J. Maas,2014,Fantasia,sim
L00205,Wizard's First Rule,Terry Goodkind,1994,Fantasia,sim
L00206,Krew elfów,Andrzej Sapkowski,1994,Fantasia,nao
L00207,The Poppy War,R. F. Kuang,2018,Fantasia,sim
L00208,The Eye of the World,Robert Jordan,1990,Fantasia,sim
L00209,The Princess Bride,William Goldman,1973,Fantasia,sim
L00210,Lord of Chaos,Robert Jordan,1994,Fantasia,nao
L00211,The Alloy of Law,Brandon Sanderson,2001,Fantasia,nao
L00212,The Way of Kings,Brandon Sanderson,2010,Fantasia,sim
L00213,The Silmarillion,J.R.R. Tolkien,1977,Fantasia,sim
L00214,Elantris,Brandon Sanderson,2005,Fantasia,sim
L00215,Sojourn,R. A. Salvatore,1991,Fantasia,sim
L00216,Pawn of Prophecy,David Eddings,1982,Fantasia,nao
L00217,Gardens of the Moon,Steven Erikson,1999,Fantasia,sim
L00218,The Shadow Rising,Robert Jordan,1992,Fantasia,sim
L00219,The Shadow of the Torturer,Gene Wolfe,1980,Fantasia,sim
L00220,Miecz przeznaczenia,Andrzej Sapkowski,1992,Fantasia,sim
L00221,Ship of Magic,Robin Hobb,1998,Fantasia,nao
L00222,Powerless,Lauren Roberts,2023,Fantasia,sim
L00223,Exile,R. A. Salvatore,1990,Fantasia,sim
L00224,The Emperor's Soul,Brandon Sanderson,2012,Fantasia,sim
L00225,The Fires of Heaven,Robert Jordan,1993,Fantasia,sim
L00226,Best served cold,Joe Abercrombie,2009,Fantasia,nao
L00227,Wolves of the Calla,Stephen King,2003,Fantasia,sim
L00228,Ostatnie Życzenie,Andrzej Sapkowski,1993,Fantasia,sim
L00229,House of Earth and Blood,Sarah J. Maas,2019,Fantasia,sim
L00230,Enchanters' End Game (The Belgariad),David Eddings,1984,Fantasia,sim
L00231,The Great Hunt (The Wheel of Time Book 2),Robert Jordan,1990,Fantasia,nao
L00232,Assassin's Apprentice,Robin Hobb,1995,Fantasia,nao
L00233,The Way of Shadows,Brent Weeks,2008,Fantasia,sim
L00234,Onyx Storm,Rebecca Yarros,2025,Fantasia,sim
L00235,Once Upon a Broken Heart,Stephanie Garber,2021,Fantasia,sim
L00236,Arcanum Unbounded,Brandon Sanderson,2016,Fantasia,nao
L00237,Iron Flame,Rebecca Yarros,2023,Fantasia,sim
L00238,Stellarlune,Shannon Messenger,2022,Fantasia,sim
L00239,Midnight,Erin Hunter,2005,Fantasia,sim
L00240,The Ballad of Never After,Stephanie Garber,2022,Fantasia,sim
L00241,Mort,Terry Pratchett,1987,Fantasia,nao
L00242,A Spell for Chameleon,Piers Anthony,1977,Fantasia,sim
L00243,The City of Ember (The First Book of Ember),Jeanne DuPrau,1998,Fantasia,nao
L00244,Neverwhere,Neil Gaiman,1996,Fantasia,sim
L00245,A Clash of Kings,George R. R. Martin,1998,Fantasia,sim
L00246,"New Spring (The Wheel of Time, Book 0)",Robert Jordan,2004,Fantasia,nao
L00247,Equal Rites,Terry Pratchett,1987,Fantasia,sim
L00248,The Cruel Prince,Holly Black,2018,Fantasia,sim
L00249,The Eyes of the Dragon,Stephen King,1959,Fantasia,sim
L00250,Fire and Ice,Erin Hunter,2003,Fantasia,sim
L00251,The Hobbit,J.R.R. Tolkien,1937,Fantasia,nao
L00252,Sourcery,Terry Pratchett,1988,Fantasia,sim
L00253,Interesting Times,Terry Pratchett,1994,Fantasia,sim
L00254,The Last Unicorn,Peter S. Beagle,1968,Fantasia,nao
L00255,The Darkest Hour,Erin Hunter,2004,Fantasia,sim
L00256,The Invisible Life of Addie LaRue,V. E. Schwab,2015,Fantasia,nao
L00257,Knife of Dreams,Robert Jordan,2005,Fantasia,sim
L00258,Haunting Adeline,H. D. Carlton,2021,Fantasia,sim
L00259,Gideon the Ninth,Tamsyn Muir,2019,Fantasia,sim
L00260,Exile,Shannon Messenger,2012,Fantasia,sim
L00261,Unfinished Tales of Númenor and Middle-earth,J.R.R. Tolkien,1980,Fantasia,nao
L00262,A Court of Silver Flames,Sarah J. Maas,2021,Fantasia,sim
L00263,The Crystal Shard,R. A. Salvatore,1988,Fantasia,sim
L00264,The Last Battle,C. S. Lewis,1956,Fantasia,sim
L00265,The Path of Daggers,Robert Jordan,1998,Fantasia,nao
L00266,On a pale horse,Piers Anthony,1983,Fantasia,nao
L00267,Rising Storm,Erin Hunter,2004,Fantasia,sim
L00268,Homeland,R. A. Salvatore,1990,Fantasia,sim
L00269,Storm Front,Jim Butcher,2000,Fantasia,sim
L00270,Dragons of Winter Night,Margaret Weis,1985,Fantasia,sim
L00271,Last Argument of Kings,Joe Abercrombie,2008,Fantasia,nao
L00272,Song of Susannah,Stephen King,1999,Fantasia,sim
L00273,Wyrd Sisters,Terry Pratchett,1988,Fantasia,sim
L00274,Czas pogardy,Andrzej Sapkowski,1995,Fantasia,sim
L00275,Witches Abroad,Terry Pratchett,1991,Fantasia,sim
L00276,Babel,R. F. Kuang,2022,Fantasia,nao
L00277,Wieża jaskółki,Andrzej Sapkowski,1997,Fantasia,sim
L00278,Oathbringer,Brandon Sanderson,2017,Fantasia,sim
L00279,"Deadhouse Gates (The Malazan Book of the Fallen, Book 2)",Steven Erikson,2000,Fantasia,sim
L00280,The Wise Man’s Fear,Patrick Rothfuss,2011,Fantasia,sim
L00281,Lords and Ladies,Terry Pratchett,1992,Fantasia,nao
L00282,The Drawing of the Three,Stephen King,1987,Fantasia,sim
L00283,Red Seas Under Red Skies (Gentlemen Bastards #2),Scott Lynch,2007,Fantasia,sim
L00284,Heir of Fire,Sarah J. Maas,2014,Fantasia,sim
L00285,House of Chains,Steven Erikson,1998,Fantasia,sim
L00286,Queen of Shadows,Sarah J. Maas,2015,Fantasia,nao
L00287,Crossroads of Twilight,Robert Jordan,1995,Fantasia,nao
L00288,The Source of Magic,Piers Anthony,1979,Fantasia,sim
L00289,A Game of Thrones,George R. R. Martin,1996,Fantasia,sim
L00290,A Darker Shade of Magic,V.E. Schwab,2015,Fantasia,sim
L00291,Rhythm of War,Brandon Sanderson,2011,Fantasia,nao
L00292,The Chronicles of Narnia,C. S. Lewis,1970,Fantasia,sim
L00293,Mad Ship,Robin Hobb,1999,Fantasia,sim
L00294,The Light Fantastic,Terry Pratchett,1986,Fantasia,sim
L00295,Howl's Moving Castle,Diana Wynne Jones,1986,Fantasia,sim
L00296,Belgarath the sorcerer,David Eddings,1995,Fantasia,nao
L00297,A Torre Negra,Stephen King,1991,Fantasia,sim
L00298,Good Omens,Neil Gaiman,1990,Fantasia,nao
L00299,A Gathering of Shadows,V.E. Schwab,2016,Fantasia,sim
L00300,The Starless Sea,Erin Morgenstern,2019,Fantasia,sim
L00301,The Man in the Brown Suit,Agatha Christie,1924,Suspense,nao
L00302,The Secret of Chimneys,Agatha Christie,1925,Suspense,sim
L00303,Never Lie,Freida McFadden,2022,Suspense,sim
L00304,At Bertram's Hotel,Agatha Christie,1965,Suspense,sim
L00305,4:50 from Paddington,Agatha Christie,1957,Suspense,sim
L00306,The Mirror Crack'd from Side to Side,Agatha Christie,1960,Suspense,nao
L00307,They Do It with Mirrors,Agatha Christie,1952,Suspense,sim
L00308,Hallowe'en Party,Agatha Christie,1969,Suspense,sim
L00309,The Big Four,Agatha Christie,1927,Suspense,nao
L00310,After the Funeral,Agatha Christie,1953,Suspense,sim
L00311,The Hidden Staircase,Carolyn Keene,1930,Suspense,nao
L00312,Murder in Three Acts,Agatha Christie,1934,Suspense,sim
L00313,The Murder of Roger Ackroyd,Agatha Christie,1926,Suspense,sim
L00314,Poirot investigates,Agatha Christie,1924,Suspense,sim
L00315,The Big Sleep,Raymond Chandler,1939,Suspense,sim
L00316,Sleeping Murder,Agatha Christie,1940,Suspense,nao
L00317,Five Little Pigs,Agatha Christie,1942,Suspense,sim
L00318,Nemesis,Agatha Christie,1970,Suspense,sim
L00319,The Inmate,Freida McFadden,2022,Suspense,sim
L00320,The Locked Door,Freida McFadden,2021,Suspense,nao
L00321,The Sign of Four,Arthur Conan Doyle,1889,Suspense,nao
L00322,Crooked House,Agatha Christie,1949,Suspense,sim
L00323,Peril at End House,Agatha Christie,1932,Suspense,sim
L00324,The Murder at the Vicarage,Agatha Christie,1930,Suspense,sim
L00325,Mrs. McGinty's Dead,Agatha Christie,1951,Suspense,sim
L00326,His Last Bow [8 stories],Arthur Conan Doyle,1917,Suspense,nao
L00327,The Red House Mystery,A. A. Milne,1922,Suspense,sim
L00328,The Sittaford Mystery,Agatha Christie,1931,Suspense,sim
L00329,And Then There Were None,Agatha Christie,1939,Suspense,sim
L00330,One for the Money,Janet Evanovich,1994,Suspense,sim
L00331,Murder on the Links,Agatha Christie,1923,Suspense,nao
L00332,Gone Girl,Gillian Flynn,2011,Suspense,sim
L00333,Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,1893,Suspense,sim
L00334,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892,Suspense,sim
L00335,Destination Unknown,Agatha Christie,1954,Suspense,sim
L00336,Die Softly,Christopher Pike,1991,Suspense,nao
L00337,The Seven Dials Mystery,Agatha Christie,1920,Suspense,sim
L00338,Endless Night,Agatha Christie,1905,Suspense,sim
L00339,A Study in Scarlet,Arthur Conan Doyle,1887,Suspense,sim
L00340,The Clocks,Agatha Christie,1963,Suspense,sim
L00341,Why Didn't they Ask Evans?,Agatha Christie,1934,Suspense,nao
L00342,Evil Under the Sun,Agatha Christie,1941,Suspense,nao
L00343,Brain Damage,Freida McFadden,2016,Suspense,sim
L00344,The Big Bad Wolf,James Patterson,2001,Suspense,sim
L00345,Hercule Poirot's Christmas,Agatha Christie,1939,Suspense,sim
L00346,Death in the Clouds,Agatha Christie,1935,Suspense,nao
L00347,The Secret of the Old Clock,Carolyn Keene,1930,Suspense,sim
L00348,The Body in the Library,Agatha Christie,1942,Suspense,sim
L00349,The Secret Adversary,Agatha Christie,1922,Suspense,sim
L00350,Curtain,Agatha Christie,1975,Suspense,sim
L00351,Appointment with Death,Agatha Christie,1938,Suspense,nao
L00352,Roses Are Red,James Patterson,1752,Suspense,sim
L00353,The Perfect Marriage,Jeneva Rose,2020,Suspense,nao
L00354,Lord Edgware Dies,Agatha Christie,1933,Suspense,sim
L00355,The Moonstone,Wilkie Collins,1800,Suspense,sim
L00356,The Pale Horse,Agatha Christie,1952,Suspense,nao
L00357,Suicide Med,Freida McFadden,2014,Suspense,sim
L00358,Cat Among the Pigeons,Agatha Christie,1959,Suspense,sim
L00359,The Hollow,Agatha Christie,1946,Suspense,sim
L00360,The Moving Finger,Agatha Christie,1942,Suspense,sim
L00361,The Man Who Was Thursday,Gilbert Keith Chesterton,1908,Suspense,nao
L00362,The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1583,Suspense,sim
L00363,Murder is Easy,Agatha Christie,1853,Suspense,sim
L00364,The Man Who Knew Too Much,Gilbert Keith Chesterton,1922,Suspense,nao
L00365,A Pocket Full of Rye,Agatha Christie,1953,Suspense,sim
L00366,The house without a key,Earl Derr Biggers,1925,Suspense,nao
L00367,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,Suspense,sim
L00368,The Valley of Fear,Arthur Conan Doyle,1914,Suspense,sim
L00369,Layla,Colleen Hoover,2020,Suspense,sim
L00370,Hidden Pictures,Jason Rekulak,2022,Suspense,sim
L00371,Sparkling Cyanide,Agatha Christie,1945,Suspense,nao
L00372,"""A"" is for Alibi",Sue Grafton,1982,Suspense,sim
L00373,Dead Man's Folly,Agatha Christie,1956,Suspense,sim
L00374,Elephants Can Remember,Agatha Christie,1969,Suspense,sim
L00375,The Prom Queen,Robert Lawrence Stine,1992,Suspense,nao
L00376,Slumber Party,Christopher Pike,1985,Suspense,nao
L00377,The Housemaid,Freida McFadden,2022,Suspense,sim
L00378,Mördare utan ansikte,Henning Mankell,1993,Suspense,sim
L00379,If We Were Villains,M. L. Rio,2017,Suspense,sim
L00380,Murder on the Orient Express,Agatha Christie,1933,Suspense,sim
L00381,The tower treasure,Franklin W. Dixon,1927,Suspense,nao
L00382,Violets Are Blue,James Patterson,2001,Suspense,sim
L00383,The Angel of Terror,Edgar Wallace,1923,Suspense,sim
L00384,The Thursday Murder Club,Richard Osman,2020,Suspense,sim
L00385,Sad Cypress,Agatha Christie,1939,Suspense,sim
L00386,"One, Two, Buckle My Shoe",Agatha Christie,1940,Suspense,nao
L00387,Dark Matter,Blake Crouch,2016,Suspense,sim
L00388,Culpa mía,Mercedes Ron,2014,Suspense,sim
L00389,The A.B.C. Murders,Agatha Christie,1936,Suspense,sim
L00390,Fear Street - Ski Weekend,Robert Lawrence Stine,1991,Suspense,sim
L00391,Taken at the Flood,Agatha Christie,1948,Suspense,nao
L00392,Ordeal by Innocence,Agatha Christie,1958,Suspense,sim
L00393,The Thirteen Problems,Agatha Christie,1932,Suspense,sim
L00394,The Wife Upstairs,Freida McFadden,2020,Suspense,sim
L00395,The Mystery of the Blue Train,Agatha Christie,1928,Suspense,sim
